batch_id,production_date,raw_material_supplier,pigment_type,pigment_quantity,mixing_time,mixing_speed,product_quality_score,efficiency_score,quality_category
930,2023-08-10,1,type_b,41.32305849,48.88,High,8.066136799,0.16501916528232405,High
1751,2023-08-10,2,type_c,34.06849274,42.19,High,7.344064988,0.1740712251244371,Medium
375,2023-08-10,2,type_c,34.99578696,22.23,High,7.902738324,0.3554988,Medium
80,2023-08-10,2,type_b,32.58536171,22.16,High,5.111475869,0.23066226845667873,Low
1900,2023-08-10,2,type_b,33.58596573,22.19,High,4.23038478,0.19064374853537627,Low
387,2023-08-10,1,type_b,45.10692986,54.05,High,7.555664117,0.13979027043478262,Medium
553,2023-08-11,2,type_c,37.11862056,51.75,High,6.735595353,0.13015643194202897,Medium
1207,2023-08-11,2,type_a,36.30415898,29.82,High,3.763745747,0.12621548447350772,Low
1380,2023-08-11,2,type_c,32.82538319,19.45,Low,6.368539185,0.32743132056555274,Medium
893,2023-08-11,1,type_a,48.38316128,56.6,Medium,7.961585526,0.14066405522968198,Medium
1834,2023-08-11,2,type_b,44.59596636,60.38,Medium,4.74292435,0.07855124792977806,Low
1085,2023-08-11,2,type_a,42.3052283,43.57,High,5.551818178,0.12742295565756256,Low
1061,2023-08-12,1,type_a,52.42267403,45.72,High,6.345193762,0.13878376557305339,Medium
1299,2023-08-12,1,type_a,49.99488665,13.75,Low,7.235623841,0.5262271884363636,Medium
20,2023-08-12,2,type_c,36.41224619,36.83,Medium,4.332351825,0.11763105688297584,Low
820,2023-08-13,1,type_c,41.27788881,56.96,Medium,10.0,0.17556179775280897,High
711,2023-08-13,1,type_a,51.32752064,35.730000000000004,High,8.769506009,0.24543817545479987,High
829,2023-08-13,2,type_c,36.13401865,52.11,High,5.809790044,0.11149088551141814,Low
1816,2023-08-13,2,type_a,29.9408365,46.42,Low,5.821342354,0.12540591025420078,Low
1002,2023-08-13,2,type_c,39.01071539,20.26,Medium,6.307913866,0.3113481671273445,Medium
42,2023-08-13,1,type_b,45.69800387,52.07,Low,8.202486153,0.15752806132129826,High
1579,2023-08-14,2,type_c,31.47722098,23.61,High,6.91076799,0.292705124523507,Medium
631,2023-08-14,2,type_c,43.31169247,32.2,Low,6.210232058,0.19286434962732918,Medium
540,2023-08-14,1,type_b,43.06360062,39.86,Low,6.773849513,0.1699410314350226,Medium
849,2023-08-14,2,type_a,38.37280024,50.45,Medium,5.26929212,0.10444582993062437,Low
390,2023-08-14,2,type_a,28.913943,37.35,Medium,6.935149787,0.18568004784471218,Medium
1133,2023-08-14,2,type_a,41.91983191,40.25,High,4.511893411,0.11209673070807454,Low
873,2023-08-14,2,type_a,41.2816751,44.56,Medium,4.101455527,0.0920434364228007,Low
363,2023-08-15,1,type_a,38.95011016,62.26,Low,8.974839733,0.14415097547381947,High
1398,2023-08-15,2,type_a,30.74338483,38.69,High,6.902622782,0.17840844616179893,Medium
1662,2023-08-15,2,type_a,27.45213286,19.51,Low,5.154165951,0.26418072532034853,Low
956,2023-08-15,1,type_b,51.6338299,41.41,Medium,7.894319837,0.1906380062062304,Medium
1993,2023-08-15,2,type_c,33.16415498,31.01,Low,5.626024462,0.1814261355046759,Low
1981,2023-08-15,1,type_c,46.79123425,47.15,Low,7.966675067,0.16896447650053023,Medium
337,2023-08-15,2,type_b,34.52198812,52.39,Low,4.391784356,0.08382867638862378,Low
669,2023-08-16,1,type_a,41.79222107,17.12,High,7.141789652,0.41716061051401865,Medium
1706,2023-08-16,2,type_b,24.91142757,34.29,Medium,6.876390725,0.20053632910469527,Medium
308,2023-08-17,2,type_a,33.72275545,22.8,Low,7.490980656,0.3285517831578947,Medium
1719,2023-08-17,2,type_b,31.14517209,30.07,Medium,6.896221304,0.22933891932158296,Medium
1242,2023-08-18,2,type_a,40.12655545,54.42,Low,6.062366013,0.11139959597574421,Medium
1396,2023-08-18,2,type_b,31.48482455,57.23,High,5.845274642,0.10213654799930107,Low
539,2023-08-19,2,type_a,35.37644754,41.42,Medium,5.404231453,0.13047396071945921,Low
1861,2023-08-19,2,type_a,40.4645827,27.25,Low,4.746463366,0.17418214187155964,Low
1716,2023-08-19,1,type_c,41.43886795,61.15,Medium,7.790085286,0.1273930545543745,Medium
1481,2023-08-19,2,type_a,33.18509475,32.14,High,6.863281705,0.2135433013378967,Medium
1037,2023-08-19,2,type_a,29.98506261,13.0,Medium,5.822232705,0.44786405423076925,Low
1840,2023-08-19,2,type_c,39.53607949,33.51,Low,6.674616369,0.19918282211280217,Medium
1863,2023-08-19,1,type_c,44.43995824,27.9,High,8.830963128,0.3165219759139785,High
706,2023-08-20,2,type_a,42.09675532,14.65,High,5.861235618,0.40008434252559727,Low
1332,2023-08-20,2,type_a,31.56039007,52.85,High,6.140476701,0.11618688175969726,Medium
1723,2023-08-20,2,type_a,29.76236299,39.9,High,7.271180081,0.18223508974937344,Medium
811,2023-08-20,2,type_b,36.8484055,32.35,Low,5.774148575,0.17848990958268932,Low
1493,2023-08-20,2,type_c,37.29774251,19.18,Medium,6.943551337,0.3620204033889468,Medium
1886,2023-08-20,1,type_a,44.86226342,22.03,Low,9.294200075,0.42188833749432586,High
232,2023-08-20,2,type_c,33.15245408,47.81,Low,5.981482844,0.125109450826187,Low
1194,2023-08-20,2,type_b,34.57049961,15.33,Low,4.871190797,0.3177554335942596,Low
936,2023-08-21,2,type_a,43.07098913,42.44,Medium,6.613482212,0.15583134335532517,Medium
1695,2023-08-21,1,type_b,45.94676767,17.93,Low,7.027250318,0.39192695582822085,Medium
1956,2023-08-21,2,type_c,42.63076417,42.54,Low,6.165317227,0.14492988309826046,Medium
1296,2023-08-21,1,type_a,41.75518973,58.35,Low,7.565343672,0.12965456164524422,Medium
1613,2023-08-21,1,type_b,36.47129432,21.55,Medium,7.454122183,0.3458989412064965,Medium
